bucket,posted_at,company_slug,title,location,remote_policy,source,url
core,2026-05-08,wttj-blue-light-card,Full Stack Engineer,"Leicester, United Kingdom",hybrid,wttj,https://www.welcometothejungle.com/en/companies/blue-light-card/jobs/full-stack-engineer_leicester
core,2026-05-13,wttj-maquette-ministere-de-l-interieur,SNPS ECULLY - SDNB - Assistant·e technique groupe individus FNAEG F/H H/F,"Lyon, France",,wttj,https://www.welcometothejungle.com/fr/companies/maquette-ministere-de-l-interieur/jobs/snps-ecully-sdnb-assistant-e-technique-groupe-individus-fnaeg-f-h-h-f_lyon
core,2026-05-11,celonis,Client Value Partner - (Insurance / Financial Services),"Munich, Germany",,greenhouse,https://job-boards.greenhouse.io/celonis/jobs/7725808003?gh_jid=7725808003
core,2026-05-13,alan,Business Segment Lead,"Paris, France; Bordeaux, France; Marseille, France; Lyon, France; Brussels, Belgium; Madrid, Spain; Barcelona, Spain",,ashby,https://jobs.ashbyhq.com/alan/d535d96a-0fc7-495e-9788-c2dadeb6ce07
camille,2026-05-13,bof-prada,Client Advisor,"Berlin, Germany",,bof,https://www.businessoffashion.com/careers/job/310718/prada-client-advisor/
core,2026-05-04,wise,Senior Software Engineer - Getting Help team,"Budapest, hu",,smartrecruiters,https://api.smartrecruiters.com/v1/companies/wise/postings/744000124372700
core,2026-05-06,neo4j,Associate Solution Engineer  - London,London,,greenhouse,https://boards.greenhouse.io/neo4j/jobs/4677846006?gh_jid=4677846006
camille,2026-05-13,bof-hugo-boss,Internship Inhouse Studio (m/f/d),"Metzingen, Germany",,bof,https://www.businessoffashion.com/careers/job/310244/hugo-boss-internship-inhouse-studio-m-f-d-/?LinkSource=SEOLandingPageListing
core,2025-11-07,1komma5grad,Servicetechniker SHK (m/w/d) Wärmepumpen & Heiztechnik - 1KOMMA5° München,München,,personio,https://1komma5grad.jobs.personio.com/job/2419627
core,2026-05-13,wttj-emailclub,HR Manager (Bilingue Français/Anglais - 100% Remote),"Kaunas, Lithuania; Klaipėda, Lithuania; Šiauliai, Lithuania",remote,wttj,https://www.welcometothejungle.com/fr/companies/emailclub/jobs/hr-manager-bilingue-francais-anglais-100-remote_EMAIL_85NWAox
camille,2026-05-13,stone,Agente Stone - Consultor (a) Comercial Externo |  Barueri/SP,"Barueri, Sao Paulo, Brasil",,greenhouse,https://job-boards.greenhouse.io/stone/jobs/7733597003
core,2026-05-05,sumup,SDR Team Lead - Dutch Speaker,"Cologne, Germany",,greenhouse,https://sumup.com/careers/positions/8534266002?gh_jid=8534266002
core,2026-05-13,wttj-the-product-crew,Data Engineer,"Paris, France",hybrid,wttj,https://www.welcometothejungle.com/fr/companies/the-product-crew/jobs/data-engineer-senior-data-engineer_paris
core,2026-05-13,novartis,Executive Director Pricing & Contracting,Basel (City),,workday,https://novartis.wd3.myworkdayjobs.com/Novartis_Careers/job/Basel-City/Executive-Director-Pricing---Contracting_REQ-10075637-1
core,2026-05-13,amgen,Senior Technical Business Analyst – Clinical Study Design and Analysis,Portugal - Lisbon,,workday,https://amgen.wd1.myworkdayjobs.com/careers/job/Portugal---Lisbon/Senior-Technical-Business-Analyst---Clinical-Study-Design-and-Analysis_R-243664
core,2026-05-13,astrazeneca,Business Excellence Manager - Fixed term contract 10 months (Nordics) - Nordic Marketing Company,4 Locations,,workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/Denmark---Copenhagen/Business-Excellence-Manager---Fixed-term-contract-10-months--Nordics----Nordic-Marketing-Company_R-251284-1
core,2026-05-13,wttj-apsia,Consultor(a) en transformación digital,"Barcelone, Spain",,wttj,https://www.welcometothejungle.com/en/companies/apsia/jobs/consultor-a-en-transformacion-digital_barcelone_SDEA_1mZRQbL
core,2026-05-07,flipdish,Senior React Native Engineer,Ireland - Dublin Hub (Hybrid),,greenhouse,https://job-boards.eu.greenhouse.io/flipdish/jobs/4851286101
core,2026-05-05,parloa,Business Development Representative (France),London Office,,greenhouse,https://job-boards.eu.greenhouse.io/parloa/jobs/4858426101
core,2026-05-13,astrazeneca,"Senior Director, Global Product Lead, Early Oncology R&D",UK - Cambridge,,workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/UK---Cambridge/Senior-Director--Global-Product-Lead--Early-Oncology-R-D-_R-250875-1
camille,2026-05-13,bof-christian-dior-couture,Christian Dior Assistant Administration des ventes Horlogerie Joaillerie H/F - Alternance,"Paris, France",,bof,https://www.businessoffashion.com/careers/job/310942/christian-dior-assistant-administration-des-ventes-horlogerie-joaillerie-h-f-alternance/
camille,2026-05-05,petit-bateau,CDI 20H - Vendeur (h/f/x) - Petit Bateau Paris Francs Bourgeois !,"Paris, IDF, fr",,smartrecruiters,https://api.smartrecruiters.com/v1/companies/petitbateau/postings/744000124602082
core,2026-05-13,prisma,Verzuim- en re-integratiespecialist,"Waalwijk, Nederland",,recruitee,https://werkenbij.prismanet.nl/o/verzuim-en-re-integratiespecialist
core,2026-05-13,thales,Chef de Projet Agile F/H,Rennes,,workday,https://thales.wd3.myworkdayjobs.com/careers/job/Rennes/Chef-de-Projet-Agile-F-H_R0327163-1
core,2026-05-13,novartis,QC Officer,Baarle Nassau,,workday,https://novartis.wd3.myworkdayjobs.com/Novartis_Careers/job/Baarle-Nassau/QC-Officer_REQ-10077386-1
core,2026-05-12,raisin,Senior AFC Operations Manager (m/f/d),"Berlin, Berlin, Germany; Frankfurt a. M.",,greenhouse,https://job-boards.eu.greenhouse.io/raisin/jobs/4863206101
core,2026-05-07,deliveryhero,Sales Executive Ads Georgia,"Tbilisi, ge",,smartrecruiters,https://api.smartrecruiters.com/v1/companies/deliveryhero/postings/744000125163925
camille,2026-05-13,stone,Executivo(a) Comercial Hunter para Grandes Contas | Sertãozinho/SP,"Sertaozinho, Sao Paulo, Brasil",,greenhouse,https://job-boards.greenhouse.io/stone/jobs/7733113003
core,2026-05-13,thales,Ingénieur technologue spécialiste matériaux et procédés,Gennevilliers,,workday,https://thales.wd3.myworkdayjobs.com/careers/job/Gennevilliers/Ingnieur-technologue-spcialiste-matriaux-et-procds_R0327980-1
core,2026-05-11,distro,"Sales Representative, ingles C1, Salario base + comisiones",Argentina,,lever,https://jobs.lever.co/distro/d9af8132-37c6-434f-8ebb-485708d7a5f3
core,2026-05-08,databricks,Delivery Solutions Architect - Public Sector,Remote - Washington D.C.,,greenhouse,https://databricks.com/company/careers/open-positions/job?gh_jid=8540462002
core,2026-05-11,deliveryhero,"Coordinator, Operations Associate","Faisalabad, pk",,smartrecruiters,https://api.smartrecruiters.com/v1/companies/deliveryhero/postings/744000125837829
core,2026-05-13,salesforce,"Sr. Manager / Director, Engineering Strategy & Operations",2 Locations,,workday,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/California---San-Francisco/Sr-Manager---Director--Engineering-Strategy---Operations_JR340353
camille,2026-05-11,petit-bateau,CDD 35H - Vendeur (h/f/x) - Petit Bateau Cholet !,"La Séguinière, fr",,smartrecruiters,https://api.smartrecruiters.com/v1/companies/petitbateau/postings/744000125798209
core,2026-05-06,westwing,Junior Strategic People & Business Partner (m/f/d),Munich Office,,personio,https://westwing.jobs.personio.com/job/2626301
camille,2026-05-13,sequoia,Global Advisor MX,International (Remote.com),,ashby,https://jobs.ashbyhq.com/sequoia/1ba5ac5c-3075-4787-97a1-56c946af3e4a
core,2026-01-12,sumup,Junior Account Manager (SM) - English,"Barcelona, Barcelona, Spain",,greenhouse,https://sumup.com/careers/positions/8367795002?gh_jid=8367795002
core,2026-05-13,wttj-bartle,Chef de projet ERP H/F,"Paris, France",,wttj,https://www.welcometothejungle.com/fr/companies/bartle/jobs/chef-de-projet-erp-h-f_paris
core,2026-05-13,wttj-software-club,Investment & Strategy Analyst (Spanish/German Speaker),"Paris, France",hybrid,wttj,https://www.welcometothejungle.com/en/companies/software-club/jobs/lead-strategy-financial-associate_paris
core,2026-05-13,astrazeneca,"Senior Director, Semantic Platform Enablement",Spain - Barcelona,,workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/Spain---Barcelona/Senior-Director--Semantic-Platform-Enablement_R-251452
core,2026-05-13,thales,Quality Assurance Manager,Crawley,,workday,https://thales.wd3.myworkdayjobs.com/careers/job/Crawley/Quality-Assurance-Manager_R0320427
core,2026-05-13,amgen,Sr. Engineer - Process & Equipment,Ireland - Dun Laoghaire,,workday,https://amgen.wd1.myworkdayjobs.com/careers/job/Ireland---Dun-Laoghaire/Sr-Engineer---Process---Equipment_R-244655-1
core,2026-05-13,fjr-sintel,Mecanicien modele fourrure shearling luxe h f,France,,fashionjobs,"https://fr.fashionjobs.com/emploi/sintel/Mecanicien-modele-fourrure-shearling-luxe-h-f,11481392.html"
core,2026-05-13,plaid,Assistant Controller,California,,ashby,https://jobs.ashbyhq.com/plaid/1bfc9e38-8f92-40cc-9f76-1a87f7c191a7
core,2026-05-07,via-justjoinit-xtrack-sp-z-o-o,Junior Project Manager/ka,"Gdańsk, PL",hybrid,justjoinit,https://justjoin.it/offers/xtrack-sp-z-o-o--junior-project-manager-ka-gdansk-pm
camille,2026-05-11,stone,Auxiliar de Atendimento Logístico | CNH A (Moto) | Rio de Janeiro/RJ [Noturno],"Rio De Janeiro, Rio De Janeiro, Brasil",,greenhouse,https://job-boards.greenhouse.io/stone/jobs/7730119003
core,2026-05-13,thales,Architecte Plateforme de test F/H,Elancourt,,workday,https://thales.wd3.myworkdayjobs.com/careers/job/Elancourt/Architecte-Plateforme-de-test-F-H_R0326008-2
core,2026-05-13,astrazeneca,Senior Programmer I/II (Non-Oncology),2 Locations,,workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/Shanghai-JingAn-Office/Senior-Programmer-I-II--Non-Oncology-_R-246704
core,2026-05-13,nvidia-workday,Senior System Software Engineer – Embedded AI Inference,"Germany, Munich",,workday,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Germany-Munich/Senior-System-Software-Engineer---Embedded-AI-Inference_JR2015026
